JR藤森駅自転車駐輪場,民営,JR線,藤森,075-361-7431,伏見区深草大亀谷大山町,301,,,,,150,,,,月極　月2700円（障害者等・学生月2500円）,入庫後1時間,有,0:00,0:00,,135.7755852,34.94807081
エコステーション21 京都鉄道博物館Bエリア,民営,近鉄・地下鉄・JR,京都,0120-923-521,下京区観喜寺町15,87,,14,,,150,,,,【自転車】24時間毎150円，【原付】2時間毎100円,【自転車】入庫後3時間，【原付】入庫後1時間,無,0:00,0:00,,135.740973,34.986526
トロッコ嵯峨駅駐輪場,民営,JR線,トロッコ嵯峨,075−881−4898,右京区嵯峨天竜寺車道町,170,,40,,,200,300,,,料金前払で退出自由,,有,0:00,0:00,,135.6800212,35.01841028
フルーツ自転車パーク四条麩屋町,民営,阪急線,河原町,0120−162−088,下京区麩屋町通四条下る八文字町345番地1,108,,,,,,,,,平日8Ｈまで100円，24Ｈ毎最大150円，土日祝6Ｈ100円，24Ｈ毎最大200円,,無,0:00,0:00,,135.7655359,35.00288056
烏丸鞍馬口月極駐輪場,民営,地下鉄烏丸線,鞍馬口,075-585-7000,北区小山下総町,77,,,,,,,,,月極のみ　,,有,0:00,0:00,,135.759172,35.03815702
京都市近鉄十条駅自転車等駐車場,公営,近鉄線,十条,0800−3333−321,南区西九条西柳ノ内町91番地,310,,40,,,150,250,,,月極　月2700円（障害者等・学生月2500円），原付：月4500円,,有,5:00,1:00,,135.7523793,34.97425201
エコステーション21嵐山駅駐輪場,民営,京福電鉄線,嵐山,0120−923−521,右京区嵯峨天龍寺造路町35−32　京福嵐山駅舎南側倉庫内,30,,,,,150,,,,,入庫後1時間,無,0:00,0:00,,135.6779072,35.01506779
JR桂川駅西口バイク駐車場,民営,JR線・阪急線,桂川　洛西口,075-361-7431,南区久世高田町,,128,,,,,,,,250ｃｃ以下　8：00〜20：00　100円/2H　20：00〜8：00　100円/3H　入庫から24H最大300円　251ｃｃ以上　400円/24H　8：00〜20：00　100円/1H　20：00〜8：00　100円/3H　24H最大400円,入庫後1時間,有,0:00,0:00,,135.7101189,34.9641149
京阪淀駐輪場,民営,京阪線,淀,075−631−7220,伏見区池上町,568,,196,59,,150,250,400,,月極【自転車】月2500円【原付】月3500円【バイク】月5000円,入庫後1時間,有,0:00,0:00,,135.7207087,34.90585225
Dパーキング京都駅前駐輪場第1,民営,近鉄・地下鉄・JR,京都,03−3737−3777,下京区東塩小路町字向畑680番2,69,,,,,200,,,,,,無,0:00,0:00,,135.7613429,34.985879
キタオオジタウン駐輪場,民営,地下鉄烏丸線,北大路,075-495-8561,北区小山上総町,784,,123,,,,,,,【自転車】6時間毎，もしくは12時間毎200円（駐輪区画により異なる）【原付】2時間毎300円,入庫後2時間,無,5:30,0:30,,135.7588037,35.04438447
京都市松ヶ崎駅自転車駐車場,公営,地下鉄烏丸線,松ヶ崎,075-722-5133,左京区松ヶ崎井出ケ海道町4番地の21,1200,,,,,150,,,,月極　自転車：月2700円（障害者等・学生月2500円），原付：月4500円,,有,5:00,1:00,,135.7759122,35.05170664
エコステーション21東福寺駐輪場,民営,JR線,東福寺,0120−923−521,東山区本町,98,,,,,150,,,,,入庫後1時間,無,0:00,0:00,,135.7702673,34.98069294
今宮駐輪場,民営,地下鉄烏丸線,北大路,075-495-8561,北区小山花ノ木町,160,,,,,200,,,,,,無,7:00,1:00,,135.7580788,35.0465088
中書島西駐輪場,民営,京阪線,中書島,075−601−5222,伏見区東浜南町,50,,81,,,,,,,月極のみ,,有,5:00,0:50,,135.7592192,34.92687561
ブーブーパーク北大路駅北駐輪場,民営,地下鉄烏丸線,北大路,075−823−0001,北区小山花ノ木町54−24,125,21,,,,100,,200,,【自転車】24H100円，【バイク】24H200円,,無,0:00,0:00,,135.7580786,35.0465132
東烏丸駐輪場,民営,地下鉄烏丸線,鞍馬口,075-431-3730,上京区御霊鳥居前通鞍馬口下ル上御霊堅町,41,,19,,,,,,,月極のみ　自転車2500円/月，原付4000円/月,,有,0:00,0:00,,135.7607556,35.03734514
京都市桂駅西口自転車駐車場,公営,阪急線,桂,0800−3333−321,西京区川島有栖川町52番地,1721,,,,,150,,,,月極　月2700円（障害者等・学生月2500円）,,有,4:30,1:30,,135.7020946,34.97869281
ブーブーパーク西院第3駐輪場,民営,阪急線,西院,075−823−0001,中京区壬生仙念町,35,,6,,,150,200,,,,,無,0:00,0:00,,135.7342122,35.00369754
出町柳まちかど駐輪場,民営,京阪線,出町柳,0120−923−521,左京区田中下柳町,150,,,,,,,,,3時間まで100円，以降3時間毎50円加算，12時間超以降12時間毎50円,入庫後1時間,無,0:00,0:00,,135.7728427,35.03010623
第３シバウラ駐輪場,民営,阪急線,西院,075−313−0999,右京区西院高山寺町,102,73,,,,,,,,月極のみ,,有,0:00,0:00,,135.732772,35.00313844
岡崎公園駐車場,民営,地下鉄東西線,東山,075−361−7431,左京区岡崎最勝寺町63番地,10,30,,,,200,300,400,,,,無,7:30,22:30,,135.7829514,35.01375104
