エコステーション21京阪三条南ビル,民営,地下鉄東西線,三条京阪,0120−923−521,東山区新五軒町,40,,38,,,300,450,,,【自転車】12Ｈまで200円，以降12Ｈ毎100円，【原付】12Ｈまで300円，以降12Ｈ毎150円,入庫後1時間,無,0:00,0:00,,135.77258,35.00790099
七之舟入自転車駐車場,民営,阪急線,河原町,075−361−7431,中京区備前島町,134,,,,,250,,,,6Ｈまで150円，以降6Ｈ毎50円加算，,入庫後30分,無,0:00,0:00,,135.7704317,35.00626685
第3シバウラ駐輪場,民営,阪急線,西院,075-313-0999,右京区西院高山寺町1,102,64,,,,,,,,月極のみ　【自転車】2700円，【バイク125cc以下】Ａ料金 5000円，Ｂ料金 6500円（車種による）【バイク126cc以上】7000円,,有,0:00,0:00,【バイク125cc以下】 53台【バイク126cc以上】 11台,135.7328327,35.0032753
大丸東洞院駐車場,民営,地下鉄／阪急,四条／烏丸,0120−9235−21,中京区阪東屋町652,240,,41,9,,,,,,【自転車】4H150円，以降4H毎50円加算　【原付】4H250円，以降4H毎50円加算　【自動二輪】4H300円，以降4H毎50円加算,入庫後3時間,無,9:45,20:15,・20：15〜9：45まで閉場します。・年末年始など、早期閉場、終日閉場の場合があります,135.7609785,35.0049266
錦小路バイク駐車場,民営,地下鉄／阪急,四条／烏丸,0120−9235−21,中京区東洞院錦小路元竹田町650,,69,,,,,,,,【原付】3H250円，以降4H毎50円加算　【自動二輪】3H300円，以降4H毎50円加算,入庫後1時間,無,10:00,20:00,,135.7609216,35.005052
T-park九条車庫,民営,地下鉄烏丸線,九条,075-693-5761,南区東九条下殿田町70,49,,,,,200,,,,,,無,0:00,0:00,,135.7562446,34.97930354
フルーツバイクパーク西院,民営,阪急線,西院,0120−162−088,左京区西院西三蔵町,,13,,,,,300,300,,【原付】60分100円，24Ｈ最大300円，【バイク】60分100円，24Ｈ最大300円,,無,0:00,0:00,,135.7312321,35.00248011
フルーツ自転車パーク阪急大宮駅,民営,阪急線,大宮,0120-162-088,中京区岩上通錦小路下る松浦町864番,111,,,,,200,,,,12時間毎100円,,無,0:00,0:00,,135.7508504,35.00426789
竹田駅6番出口北（定期利用区画2）,民営,地下鉄烏丸線,竹田,075-606-1825,伏見区竹田西樋ノ井町,187,,,,,,,,,月極のみ　【自転車】2700円,,有,0:00,0:00,,135.7558714,34.95594858
エコステーション21山科区総合庁舎来庁者駐輪場,民営,地下鉄東西線,椥辻,0120−923−521,山科区椥辻池尻町14番地の2,224,37,,,,300,,900,600,【自転車】8Ｈ毎100円，【自動二輪】（125ｃｃ以下）8Ｈ毎200円，【自動二輪】（125ｃｃ超）8Ｈ300円,入庫後2時間,無,0:00,0:00,,135.8138255,34.97194518
五条河原町駐車場,民営,京阪線,清水五条,075-361-7431,下京区本塩竃町558-7,,5,,,,500,,,,100円/時　当日上限500円（0時を過ぎると料金加算）,,無,0:00,0:00,,135.7654875,34.9956935
コンセプト　ライダーパーク,民営,近鉄・地下鉄・JR,京都,0120−485−017,下京区南不動堂町,,,,,26,400,,400,,自転車・原付バイク・大型バイクの選別なし1Ｈ100円　入庫後24Ｈ最大400円,,有,0:00,0:00,月極あり（3台）,135.7537561,34.98684305
T-park 桜之町２駐輪場,民営,地下鉄東西線,京都市役所前,075−693−5761,中京区桜之町414,,,,,62,300,,300,,【バイク】1日300円,,無,0:00,0:00,,135.7682051,35.0081065
T-park桜之町駐輪場,民営,地下鉄東西線,京都市役所前,075−693−5761,中京区桜之町414,,,,,36,300,300,300,,,,無,0:00,0:00,（台数）36台のうち大型自動二輪は5台,135.7683295,35.0081065
京都市桂川駅東自転車等駐車場,公営,JR線,桂川,0800−3333−321,南区久世上久世町110番地の3,720,,80,,,150,250,,,月極　月2700円（障害者等・学生月2500円）,,有,4:30,1:30,,135.7107209,34.96470887
JR嵯峨嵐山南駐輪場,民営,JR線,トロッコ嵯峨,075−881−4898,右京区嵯峨天竜寺車道町,150,,,,,,,,,月極のみ,,有,0:00,0:00,,135.6816316,35.01855032
京阪墨染駐輪場,民営,京阪線,墨染,075−748−7012,伏見区深草北新町,,62,,,,,,,,月極のみ,,有,0:00,0:00,,135.769562,34.94765831
エコステーション21京阪丹波橋,民営,近鉄線,丹波橋,0120−923−521,伏見区桃山井伊掃部西町,251,,,,,150,,,,,入庫後30分,無,0:00,0:00,,135.7659339,34.9411035
