京都市清水坂観光駐車場,公営,京阪線,清水五条,075−361−7431,東山区清水四丁目161番地の1,30,31,,,,200,,400,,,,無,0:00,0:00,,135.7792463,34.99575152
フルーツ自転車パーク東福寺駅,民営,京阪線,東福寺,0120-162-088,東山区本町十一丁目215番1,87,,,,,,,,,24時間毎100円,,無,0:00,0:00,,135.7705637,34.98204205
エコステーション21三条東,民営,地下鉄東西線,三条京阪,0120−923−521,東山区大和大路通三条下る大黒町,217,,50,11,,,,,,【自転車】12Ｈまで200円，以降12Ｈ毎100円，【原付】12Ｈまで300円，以降12Ｈ毎150円，【自動二輪】（125ｃｃ超）12Ｈまで400円，以降12Ｈ毎200円,入庫後1時間,無,0:00,0:00,,135.7736926,35.00874253
エコステーション21 白川ビル,民営,近鉄・地下鉄・JR,京都,0120-923-521,南区東九条西山王町11,34,,,,,,,,,8時間まで150円，以降8時間毎50円,入庫後30分間,無,0:00,0:00,,135.76099,34.983009
江若交通川端駐輪センター,民営,京阪線,神宮丸太町,075−752−1662,左京区下堤町,250,,87,,,210,310,,,,,有,0:00,0:00,,135.7725265,35.01626339
GSパーク　俵屋町,民営,阪急線,河原町,06−4300−3418,下京区俵屋町,,24,,,,,,,,【原付】【バイク】12Ｈ毎300円,,無,0:00,0:00,,135.7656217,35.0023562
京都市二条駅南自転車駐車場,公営,地下鉄・ＪＲ,二条,0800−3333−321,中京区西ノ京栂尾町2番地,1060,,,,,150,,,,"月極　月2700円（障害者等・学生月2500円）",,有,5:00,1:00,,135.7416878,35.0098082
鞍馬口駐輪場,民営,地下鉄烏丸線,鞍馬口,075-451-6217,北区鞍馬口通室町東入る小山町,81,21,,,,,,,,月極のみ　,,有,0:00,0:00,,135.7586064,35.03780513
京都市桂駅南自転車等駐車場,公営,阪急線,桂,0800−3333−321,西京区川嶋北裏町116番地の7,374,,77,,,150,250,,,"月極　月2700円（障害者等・学生月2500円），原付：月4500円",,有,4:30,1:30,,135.7033526,34.9773414
コクフ駐輪場,民営,阪急線,上桂,075−394−2666,西京区上桂森上町,300,20,,,,,,,,月極のみ,,有,0:00,0:00,,135.6948963,34.99056729
